x,y,unique_id,tuile,annee_plan,source,cultivar_n,age_plan
544420.418153388,6333595.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544430.418153388,6333595.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544600.418153388,6333595.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544610.418153388,6333595.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544630.418153388,6333595.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544390.418153388,6333585.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544400.418153388,6333585.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544410.418153388,6333585.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544420.418153388,6333585.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544430.418153388,6333585.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544440.418153388,6333585.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544580.418153388,6333585.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544590.418153388,6333585.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544600.418153388,6333585.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544610.418153388,6333585.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544620.418153388,6333585.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544630.418153388,6333585.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544640.418153388,6333585.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544650.418153388,6333585.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544310.418153388,6333575.640261997,dep82_bb_1,T31TCJ,2020,dep82_bb,Raspalje,-3
544320.418153388,6333575.640261997,dep82_bb_1,T31TCJ,2020,dep82_bb,Raspalje,-3
544360.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544370.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544380.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544390.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544400.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544410.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544420.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544430.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544440.418153388,6333575.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544580.418153388,6333575.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544590.418153388,6333575.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544600.418153388,6333575.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544610.418153388,6333575.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544620.418153388,6333575.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544630.418153388,6333575.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544640.418153388,6333575.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544650.418153388,6333575.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544660.418153388,6333575.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544670.418153388,6333575.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544300.418153388,6333565.640261997,dep82_bb_1,T31TCJ,2020,dep82_bb,Raspalje,-3
544310.418153388,6333565.640261997,dep82_bb_1,T31TCJ,2020,dep82_bb,Raspalje,-3
544320.418153388,6333565.640261997,dep82_bb_1,T31TCJ,2020,dep82_bb,Raspalje,-3
544330.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544340.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544350.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544360.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544370.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544380.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544390.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544400.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544410.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544420.418153388,6333565.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544570.418153388,6333565.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544580.418153388,6333565.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544590.418153388,6333565.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544600.418153388,6333565.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544610.418153388,6333565.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544620.418153388,6333565.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544630.418153388,6333565.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544640.418153388,6333565.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544650.418153388,6333565.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544660.418153388,6333565.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544670.418153388,6333565.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544680.418153388,6333565.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544300.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544310.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544320.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544330.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544340.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544350.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544360.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544370.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544380.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544390.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544400.418153388,6333555.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544570.418153388,6333555.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544580.418153388,6333555.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544590.418153388,6333555.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544600.418153388,6333555.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544610.418153388,6333555.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544620.418153388,6333555.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544630.418153388,6333555.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544640.418153388,6333555.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544650.418153388,6333555.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544660.418153388,6333555.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544670.418153388,6333555.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544680.418153388,6333555.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544690.418153388,6333555.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544700.418153388,6333555.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544300.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544310.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544320.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544330.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544340.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544350.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544360.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544370.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544380.418153388,6333545.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544580.418153388,6333545.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544590.418153388,6333545.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544600.418153388,6333545.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544610.418153388,6333545.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544620.418153388,6333545.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544630.418153388,6333545.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544640.418153388,6333545.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544650.418153388,6333545.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544660.418153388,6333545.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544670.418153388,6333545.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544680.418153388,6333545.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544690.418153388,6333545.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544700.418153388,6333545.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544290.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544300.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544310.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544320.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544330.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544340.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544350.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544360.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544370.418153388,6333535.640261997,dep82_bb_23,T31TCJ,2020,dep82_bb,Af8,-3
544600.418153388,6333535.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544610.418153388,6333535.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544620.418153388,6333535.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544630.418153388,6333535.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544640.418153388,6333535.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544650.418153388,6333535.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544660.418153388,6333535.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544670.418153388,6333535.640261997,dep82_bb_8,T31TCJ,2019,dep82_bb,Raspalje,-2
544680.418153388,6333535.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544690.418153388,6333535.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
544700.418153388,6333535.640261997,dep82_bb_7,T31TCJ,2019,dep82_bb,Raspalje,-2
