x,y,valeur,date,tuile,grid_CC,grid_ENL,grid_MOCH,grid_PAI,grid_VCI,unique_id,id_parc,annee_plan,cultivar_n,source,lidar_date,age_plan
521988.22,6345668.34,80,2021,T30TYP,65.18,17.0,16.042679,3.1907063,0.9484635,dep47_92,92,2013,I214,dep47,2021.0,8
521998.22,6345668.34,73,2021,T30TYP,81.72,14.5,15.396104,3.4289453,0.94314456,dep47_92,92,2013,I214,dep47,2021.0,8
521948.22,6345658.34,60,2021,T30TYP,76.21,14.5,17.438307,3.079709,0.9165824,dep47_92,92,2013,I214,dep47,2021.0,8
521958.22,6345658.34,88,2021,T30TYP,81.42,14.0,16.684828,3.1224716,0.9342613,dep47_92,92,2013,I214,dep47,2021.0,8
521968.22,6345658.34,95,2021,T30TYP,66.87,15.0,16.769325,2.9228885,0.9328755,dep47_92,92,2013,I214,dep47,2021.0,8
521978.22,6345658.34,99,2021,T30TYP,79.36,13.5,18.592258,3.7573426,0.9208968,dep47_92,92,2013,I214,dep47,2021.0,8
521988.22,6345658.34,99,2021,T30TYP,88.93,12.0,18.58627,3.4521396,0.91620654,dep47_92,92,2013,I214,dep47,2021.0,8
521998.22,6345658.34,98,2021,T30TYP,84.6,13.5,18.690569,3.7556448,0.89353925,dep47_92,92,2013,I214,dep47,2021.0,8
522008.22,6345658.34,98,2021,T30TYP,85.56,12.0,19.108255,3.8002012,0.91711515,dep47_92,92,2013,I214,dep47,2021.0,8
522018.22,6345658.34,30,2021,T30TYP,84.81,17.0,15.796318,3.4195101,0.95820016,dep47_92,92,2013,I214,dep47,2021.0,8
521958.22,6345648.34,98,2021,T30TYP,70.7,13.0,18.800623,3.5187883,0.91386545,dep47_92,92,2013,I214,dep47,2021.0,8
521968.22,6345648.34,98,2021,T30TYP,84.17,13.5,18.915207,3.5611722,0.92265666,dep47_92,92,2013,I214,dep47,2021.0,8
521978.22,6345648.34,100,2021,T30TYP,89.35,13.5,18.474215,3.5704634,0.93163764,dep47_92,92,2013,I214,dep47,2021.0,8
521988.22,6345648.34,97,2021,T30TYP,83.01,12.5,16.419909,2.8749652,0.930503,dep47_92,92,2013,I214,dep47,2021.0,8
521998.22,6345648.34,100,2021,T30TYP,82.96,18.0,14.586536,2.4762077,0.90226424,dep47_92,92,2013,I214,dep47,2021.0,8
522008.22,6345648.34,100,2021,T30TYP,73.98,13.5,12.207936,2.0099692,0.95268077,dep47_92,92,2013,I214,dep47,2021.0,8
522018.22,6345648.34,76,2021,T30TYP,68.86,14.5,11.15137,1.9090587,0.94872326,dep47_92,92,2013,I214,dep47,2021.0,8
521958.22,6345638.34,97,2021,T30TYP,32.08,18.5,6.7251673,1.1633595,0.9208999,dep47_92,92,2013,I214,dep47,2021.0,8
521968.22,6345638.34,98,2021,T30TYP,25.41,12.5,5.529181,0.84690243,0.945327,dep47_92,92,2013,I214,dep47,2021.0,8
521978.22,6345638.34,97,2021,T30TYP,23.5,17.5,3.5642896,0.65451366,0.9169555,dep47_92,92,2013,I214,dep47,2021.0,8
521988.22,6345638.34,96,2021,T30TYP,30.92,16.0,5.363232,1.134178,0.9012599,dep47_92,92,2013,I214,dep47,2021.0,8
